Lead_Time,ACC,RMSE
1,0.9428023791710254,0.33861998
2,0.9159437030684321,0.39236346
3,0.8887221068288459,0.4431459
4,0.8635415496960941,0.48511636
5,0.8397952201333502,0.5211926
6,0.8138228356275251,0.5572998
7,0.7843914760063878,0.59231466
8,0.751139045409555,0.6293982
9,0.7129727355382734,0.6663605
10,0.6785246769059303,0.6971914
11,0.6467218666751069,0.7229438
12,0.6273831598332246,0.7388173
13,0.6020010440077441,0.75796545
14,0.5824392506081909,0.77217424
15,0.5531561475718237,0.7912067
16,0.5107564328928801,0.8159066
17,0.46853850349951526,0.8379618
18,0.4156344795130453,0.86268926
19,0.35667680308111943,0.88654214
20,0.30675884060935055,0.90404004
21,0.2609713654074167,0.9168926
22,0.21844550951378314,0.92636013
23,0.19540822315403883,0.9286236
24,0.17775588704653153,0.9276332
